Label,# 样本,平均值,最小值,最大值,标准偏差,异常 %,吞吐量,接收 KB/sec,发送 KB/sec,平均字节数
stream 消息队列并发下单压力测试,1000,127,6,194,53.21,80.000%,867.30269,181.08,211.74,213.8
总体,1000,127,6,194,53.21,80.000%,867.30269,181.08,211.74,213.8
