Label,# 样本,平均值,中位数,90% 百分位,95% 百分位,99% 百分位,最小值,最大值,异常 %,吞吐量,接收 KB/sec,发送 KB/sec
stream 消息队列并发下单压力测试,1000,127,149,184,189,192,6,194,80.000%,867.30269,181.08,211.74
总体,1000,127,149,184,189,192,6,194,80.000%,867.30269,181.08,211.74
